unique_id,cutoff,ds,y,y_hat
T000000,1985-06-30,1985-07-31,5019.4534,3972.4175
T000000,1985-06-30,1985-08-31,5466.7801,4425.855
T000000,1985-06-30,1985-09-30,3235.1677,3074.7834
T000000,1985-06-30,1985-10-31,2157.98,1852.151
T000000,1985-06-30,1985-11-30,1379.7252,1336.7947
T000000,1985-06-30,1985-12-31,1728.04,1835.8768
T000000,1985-12-31,1986-01-31,1350.1099,1621.1956
T000000,1985-12-31,1986-02-28,1216.0149,1612.3091
T000000,1985-12-31,1986-03-31,1751.3252,1781.4877
T000000,1985-12-31,1986-04-30,1805.3201,2031.5342
T000000,1985-12-31,1986-05-31,2570.0249,2023.897
T000000,1985-12-31,1986-06-30,3204.2402,2843.4895
T000000,1986-06-30,1986-07-31,5395.72,4077.431
T000000,1986-06-30,1986-08-31,6078.8285,4880.892
T000000,1986-06-30,1986-09-30,3587.0984,3158.1772
T000000,1986-06-30,1986-10-31,2285.195,1946.132
T000000,1986-06-30,1986-11-30,1582.1899,1444.3063
T000000,1986-06-30,1986-12-31,1787.4298,2003.8031
T000000,1986-12-31,1987-01-31,1554.8701,1751.7518
T000000,1986-12-31,1987-02-28,1409.8649,1707.515
T000000,1986-12-31,1987-03-31,1612.125,1916.4044
T000000,1986-12-31,1987-04-30,2286.2401,2098.4475
T000000,1986-12-31,1987-05-31,2913.7551,2235.8792
T000000,1986-12-31,1987-06-30,3645.9085,2971.1218
T000000,1987-06-30,1987-07-31,5956.7085,4469.0454
T000000,1987-06-30,1987-08-31,6326.975,5429.9126
T000000,1987-06-30,1987-09-30,3914.6602,3527.5654
T000000,1987-06-30,1987-10-31,2617.675,2195.224
T000000,1987-06-30,1987-11-30,1675.165,1697.3579
T000000,1987-06-30,1987-12-31,2139.22,2182.4197
T000000,1987-12-31,1988-01-31,1715.4899,2041.7904
T000000,1987-12-31,1988-02-29,1663.5799,1938.2279
T000000,1987-12-31,1988-03-31,2053.6999,2035.1766
T000000,1987-12-31,1988-04-30,2354.9299,2408.234
T000000,1987-12-31,1988-05-31,3038.5918,2536.5095
T000000,1987-12-31,1988-06-30,3470.6093,3422.2583
T000000,1988-06-30,1988-07-31,6606.1834,4687.692
T000000,1988-06-30,1988-08-31,6587.6369,5565.534
T000000,1988-06-30,1988-09-30,4133.7828,3665.94
T000000,1988-06-30,1988-10-31,2960.0243,2253.3374
T000000,1988-06-30,1988-11-30,1762.5849,1674.403
T000000,1988-06-30,1988-12-31,2125.6402,2381.6306
T000000,1988-12-31,1989-01-31,1815.9151,2250.8083
T000000,1988-12-31,1989-02-28,1632.315,2036.4572
T000000,1988-12-31,1989-03-31,2210.395,2236.5732
T000000,1988-12-31,1989-04-30,2210.215,2683.2852
T000000,1988-12-31,1989-05-31,3099.2694,2705.335
T000000,1988-12-31,1989-06-30,3468.7778,3303.5117
T000000,1989-06-30,1989-07-31,6482.9252,5049.3403
T000000,1989-06-30,1989-08-31,6665.485,5841.046
T000000,1989-06-30,1989-09-30,4006.3619,3784.0215
T000000,1989-06-30,1989-10-31,2882.3349,2322.7097
T000000,1989-06-30,1989-11-30,1775.2499,1680.7545
T000000,1989-06-30,1989-12-31,2171.6498,2379.1023
T000000,1989-12-31,1990-01-31,1796.475,2277.0122
T000000,1989-12-31,1990-02-28,1692.3498,2058.981
T000000,1989-12-31,1990-03-31,1949.7851,2280.457
T000000,1989-12-31,1990-04-30,2680.6301,2652.3613
T000000,1989-12-31,1990-05-31,2645.95,2726.0022
T000000,1989-12-31,1990-06-30,3414.7429,3294.1646
T000000,1990-06-30,1990-07-31,5772.8769,4874.536
T000000,1990-06-30,1990-08-31,6053.7042,5802.255
T000000,1990-06-30,1990-09-30,3878.1285,3682.833
T000000,1990-06-30,1990-10-31,2806.5149,2294.6604
T000000,1990-06-30,1990-11-30,1735.5382,1642.5615
T000000,1990-06-30,1990-12-31,2128.92,2430.6084
T000000,1990-12-31,1991-01-31,1608.0142,2205.5962
T000000,1990-12-31,1991-02-28,1441.3301,2035.9905
T000000,1990-12-31,1991-03-31,2068.235,2182.5674
T000000,1990-12-31,1991-04-30,2207.6102,2661.9644
T000000,1990-12-31,1991-05-31,2918.41,2483.2598
T000000,1990-12-31,1991-06-30,3400.8178,3157.5952
T000000,1991-06-30,1991-07-31,6048.7421,4535.43
T000000,1991-06-30,1991-08-31,6483.14,5315.3447
T000000,1991-06-30,1991-09-30,4063.5027,3607.6553
T000000,1991-06-30,1991-10-31,2900.23,2359.6824
T000000,1991-06-30,1991-11-30,1907.095,1691.7026
T000000,1991-06-30,1991-12-31,2338.51,2333.471
T000000,1991-12-31,1992-01-31,1787.1651,2310.428
T000000,1991-12-31,1992-02-29,1699.6451,2074.9075
