unique_id,cutoff,target_start,target_end,online_source,online_series_step,u_hat,score_pi_width,score_resid_scale,score_err_var,window_smape,q,reject_meta_model,accept_meta_model,reject_pi_width,accept_pi_width,reject_resid_scale,accept_resid_scale,reject_err_var,accept_err_var,reject_random_q,accept_random_q,reject_oracle_q,accept_oracle_q
T000000,1985-06-30,1985-07-31,1985-12-31,holdout_evaluation,1,0.32162955888258427,1953.0568373526683,0.01134274826084597,229.10650205712236,0.15337179576264381,0.4,False,True,False,True,False,True,True,False,True,False,False,True
T000001,1985-06-30,1985-07-31,1985-12-31,holdout_evaluation,1,0.19666501559594862,102774.05673201411,0.02762082135957797,7798.807619780997,0.14446789655256248,0.4,False,True,True,False,False,True,True,False,True,False,False,True
T000000,1985-12-31,1986-01-31,1986-06-30,holdout_evaluation,2,0.341748169077961,1836.944602343842,0.011376040435018483,222.1073239639045,0.21974279826169327,0.4,False,True,False,True,False,True,True,False,False,True,False,True
T000001,1985-12-31,1986-01-31,1986-06-30,holdout_evaluation,2,0.1709599752685101,76792.13570767916,0.023943346874284593,7567.384274775732,0.11815239471201905,0.4,False,True,True,False,False,True,True,False,True,False,False,True
T000000,1986-06-30,1986-07-31,1986-12-31,holdout_evaluation,3,0.3127864602911242,1459.3299339055286,0.017004927854933946,229.39019455982532,0.20903313260860698,0.4,False,True,False,True,False,True,True,False,True,False,False,True
T000001,1986-06-30,1986-07-31,1986-12-31,holdout_evaluation,3,0.16761184919929534,105065.69281499973,0.023290687114767325,7722.8189573940535,0.15226978958413254,0.4,False,True,True,False,False,True,True,False,False,True,False,True
T000000,1986-12-31,1987-01-31,1987-06-30,holdout_evaluation,4,0.3802169690088404,1639.1994782564527,0.0136555222431817,233.52428117479707,0.20861559935637297,0.4,False,True,False,True,False,True,True,False,False,True,False,True
T000001,1986-12-31,1987-01-31,1987-06-30,holdout_evaluation,4,0.23044946581909403,88889.47623632969,0.023943346874284593,8060.9802187318255,0.14039084600839866,0.4,False,True,True,False,False,True,True,False,False,True,False,True
T000000,1987-06-30,1987-07-31,1987-12-31,holdout_evaluation,5,0.34295655616001575,2000.198021601308,0.010923916588439872,240.4598191570153,0.20281848193503868,0.4,False,True,False,True,False,True,True,False,False,True,False,True
T000001,1987-06-30,1987-07-31,1987-12-31,holdout_evaluation,5,0.19155329369472662,94888.98038330681,0.023943346874284593,8174.520680458655,0.11321880349565955,0.4,False,True,True,False,False,True,True,False,False,True,False,True
T000000,1987-12-31,1988-01-31,1988-06-30,holdout_evaluation,6,0.3364028375185733,2448.556673670957,0.010204876161098206,249.74637879571688,0.1613217123555983,0.4,False,True,True,False,False,True,True,False,False,True,False,True
T000001,1987-12-31,1988-01-31,1988-06-30,holdout_evaluation,6,0.18925025787621635,85995.2355338408,0.020275050461343605,8341.566272131475,0.07038228600319099,0.4,False,True,True,False,False,True,True,False,True,False,False,True
T000000,1988-06-30,1988-07-31,1988-12-31,holdout_evaluation,7,0.32066890732841424,2193.912607167174,0.012847145506301047,246.00298138537724,0.1705638312325923,0.4,False,True,True,False,False,True,True,False,True,False,False,True
T000001,1988-06-30,1988-07-31,1988-12-31,holdout_evaluation,7,0.19059898900092964,68227.88290791343,0.0269659026236318,8321.14634004358,0.12701482146563814,0.4,False,True,True,False,False,True,True,False,True,False,False,True
T000000,1988-12-31,1989-01-31,1989-06-30,holdout_evaluation,8,0.3352823757499781,2384.452246465718,0.017425091934290773,258.86854862690114,0.1856589058054521,0.4,False,True,True,False,False,True,True,False,False,True,False,True
T000001,1988-12-31,1989-01-31,1989-06-30,holdout_evaluation,8,0.15355029803958486,73218.19716798185,0.020234373244049933,8496.423159822743,0.11508831181420594,0.4,False,True,True,False,False,True,True,False,False,True,False,True
T000000,1989-06-30,1989-07-31,1989-12-31,holdout_evaluation,9,0.37630486230140203,2181.5574836864357,0.017425091934290773,261.77620754204696,0.13945334195359696,0.4,False,True,True,False,False,True,True,False,False,True,False,True
T000001,1989-06-30,1989-07-31,1989-12-31,holdout_evaluation,9,0.1876325952952993,73910.4500481142,0.020234373244049933,8553.490718965404,0.10053681047007752,0.4,False,True,True,False,False,True,True,False,True,False,False,True
T000354,1989-06-30,1989-07-31,1989-12-31,holdout_evaluation,1,0.969363040138853,256459.22007183218,0.048961009308377657,28493.544080002997,0.7873340039205695,0.4,True,False,True,False,False,True,True,False,False,True,True,False
T000355,1989-06-30,1989-07-31,1989-12-31,holdout_evaluation,1,0.822717489201299,67098.18671120093,0.09146979855776066,7692.056373502587,0.7258851878661097,0.4,True,False,True,False,True,False,True,False,True,False,True,False
T000356,1989-06-30,1989-07-31,1989-12-31,holdout_evaluation,1,0.8725165816588853,207873.18168019367,0.05827267972426331,19580.667636847716,0.6105636190431417,0.4,True,False,True,False,False,True,True,False,True,False,True,False
T000357,1989-06-30,1989-07-31,1989-12-31,holdout_evaluation,1,0.6732845152719067,15804.103683615738,0.15219804755929467,835.2051182345302,0.231630246612145,0.4,True,False,True,False,True,False,True,False,True,False,False,True
T000358,1989-06-30,1989-07-31,1989-12-31,holdout_evaluation,1,0.8094884126265485,106408.52101953565,0.17480669401634175,11124.51256988006,0.6935782546927034,0.4,True,False,True,False,True,False,True,False,True,False,True,False
