unique_id,cutoff,ds,y,y_hat
T000000,1985-06-30,1985-07-31,5019.4534,4339.5005
T000000,1985-06-30,1985-08-31,5466.7801,4139.4604
T000000,1985-06-30,1985-09-30,3235.1677,3168.4722
T000000,1985-06-30,1985-10-31,2157.98,2498.2083
T000000,1985-06-30,1985-11-30,1379.7252,1000.7334
T000000,1985-06-30,1985-12-31,1728.04,1750.9846
T000000,1985-12-31,1986-01-31,1350.1099,1582.0353
T000000,1985-12-31,1986-02-28,1216.0149,1606.3564
T000000,1985-12-31,1986-03-31,1751.3252,1736.0269
T000000,1985-12-31,1986-04-30,1805.3201,2138.8462
T000000,1985-12-31,1986-05-31,2570.0249,1942.8309
T000000,1985-12-31,1986-06-30,3204.2402,2075.0083
T000000,1986-06-30,1986-07-31,5395.72,4389.1724
T000000,1986-06-30,1986-08-31,6078.8285,4372.1304
T000000,1986-06-30,1986-09-30,3587.0984,3199.9849
T000000,1986-06-30,1986-10-31,2285.195,2437.0195
T000000,1986-06-30,1986-11-30,1582.1899,917.6465
T000000,1986-06-30,1986-12-31,1787.4298,1808.6603
T000000,1986-12-31,1987-01-31,1554.8701,1648.6431
T000000,1986-12-31,1987-02-28,1409.8649,1704.9521
T000000,1986-12-31,1987-03-31,1612.125,1844.0807
T000000,1986-12-31,1987-04-30,2286.2401,2179.4226
T000000,1986-12-31,1987-05-31,2913.7551,2193.8015
T000000,1986-12-31,1987-06-30,3645.9085,2096.3706
T000000,1987-06-30,1987-07-31,5956.7085,4848.195
T000000,1987-06-30,1987-08-31,6326.975,4893.493
T000000,1987-06-30,1987-09-30,3914.6602,3530.0576
T000000,1987-06-30,1987-10-31,2617.675,2705.1003
T000000,1987-06-30,1987-11-30,1675.165,956.365
T000000,1987-06-30,1987-12-31,2139.22,1987.0796
T000000,1987-12-31,1988-01-31,1715.4899,2074.543
T000000,1987-12-31,1988-02-29,1663.5799,1928.251
T000000,1987-12-31,1988-03-31,2053.6999,2055.3782
T000000,1987-12-31,1988-04-30,2354.9299,2568.0303
T000000,1987-12-31,1988-05-31,3038.5918,2387.739
T000000,1987-12-31,1988-06-30,3470.6093,2555.2607
T000000,1988-06-30,1988-07-31,6606.1834,5071.2964
T000000,1988-06-30,1988-08-31,6587.6369,5097.294
T000000,1988-06-30,1988-09-30,4133.7828,3765.0168
T000000,1988-06-30,1988-10-31,2960.0243,3036.3079
T000000,1988-06-30,1988-11-30,1762.5849,1301.3713
T000000,1988-06-30,1988-12-31,2125.6402,2315.5952
T000000,1988-12-31,1989-01-31,1815.9151,1941.1338
T000000,1988-12-31,1989-02-28,1632.315,1991.8396
T000000,1988-12-31,1989-03-31,2210.395,2048.3088
T000000,1988-12-31,1989-04-30,2210.215,2570.4268
T000000,1988-12-31,1989-05-31,3099.2694,2478.135
T000000,1988-12-31,1989-06-30,3468.7778,2314.103
T000000,1989-06-30,1989-07-31,6482.9252,5423.377
T000000,1989-06-30,1989-08-31,6665.485,5255.929
T000000,1989-06-30,1989-09-30,4006.3619,3975.5786
T000000,1989-06-30,1989-10-31,2882.3349,3342.2993
T000000,1989-06-30,1989-11-30,1775.2499,1458.5557
T000000,1989-06-30,1989-12-31,2171.6498,2331.274
T000000,1989-12-31,1990-01-31,1796.475,1970.1594
T000000,1989-12-31,1990-02-28,1692.3498,2014.0848
T000000,1989-12-31,1990-03-31,1949.7851,2126.304
T000000,1989-12-31,1990-04-30,2680.6301,2562.2878
T000000,1989-12-31,1990-05-31,2645.95,2554.296
T000000,1989-12-31,1990-06-30,3414.7429,2316.8418
T000000,1990-06-30,1990-07-31,5772.8769,5494.8896
T000000,1990-06-30,1990-08-31,6053.7042,5471.996
T000000,1990-06-30,1990-09-30,3878.1285,3947.4194
T000000,1990-06-30,1990-10-31,2806.5149,3385.7441
T000000,1990-06-30,1990-11-30,1735.5382,1575.5684
T000000,1990-06-30,1990-12-31,2128.92,2545.4841
T000000,1990-12-31,1991-01-31,1608.0142,2009.8171
T000000,1990-12-31,1991-02-28,1441.3301,2062.0461
T000000,1990-12-31,1991-03-31,2068.235,2190.6418
T000000,1990-12-31,1991-04-30,2207.6102,2653.4158
T000000,1990-12-31,1991-05-31,2918.41,2273.035
T000000,1990-12-31,1991-06-30,3400.8178,2464.1135
T000000,1991-06-30,1991-07-31,6048.7421,4848.7056
T000000,1991-06-30,1991-08-31,6483.14,4824.5
T000000,1991-06-30,1991-09-30,4063.5027,3665.4346
T000000,1991-06-30,1991-10-31,2900.23,3094.6995
T000000,1991-06-30,1991-11-30,1907.095,1468.102
T000000,1991-06-30,1991-12-31,2338.51,2285.046
T000000,1991-12-31,1992-01-31,1787.1651,2036.6862
T000000,1991-12-31,1992-02-29,1699.6451,2010.2969
T000000,1991-12-31,1992-03-31,1979.1052,2294.8828
T000000,1991-12-31,1992-04-30,2824.26,2610.1333
T000000,1991-12-31,1992-05-31,3076.505,2521.8918
T000000,1991-12-31,1992-06-30,3402.585,2303.1895
T000000,1992-06-30,1992-07-31,5985.83,5134.822
T000000,1992-06-30,1992-08-31,6611.115,5231.3867
T000000,1992-06-30,1992-09-30,4150.2395,3866.9678
T000000,1992-06-30,1992-10-31,2841.0,3379.6653
T000000,1992-06-30,1992-11-30,1813.44,1715.5831
T000000,1992-06-30,1992-12-31,2261.08,2634.4832
T000000,1992-12-31,1993-01-31,1873.605,2114.8792
T000000,1992-12-31,1993-02-28,1772.84,2144.6453
T000000,1992-12-31,1993-03-31,2049.565,2387.296
T000000,1992-12-31,1993-04-30,2932.265,2819.588
T000000,1992-12-31,1993-05-31,3113.255,2561.2722
T000000,1992-12-31,1993-06-30,3461.505,2497.8638
T000000,1993-06-30,1993-07-31,6265.74,5224.2876
T000000,1993-06-30,1993-08-31,6857.8,5391.2314
T000000,1993-06-30,1993-09-30,4346.09,3966.037
T000000,1993-06-30,1993-10-31,3154.73,3413.2388
T000000,1993-06-30,1993-11-30,2142.21,1564.4106
T000000,1993-06-30,1993-12-31,2375.725,2581.5732
T000000,1993-12-31,1994-01-31,1981.11,2175.0063
T000000,1993-12-31,1994-02-28,1959.865,2191.1133
T000000,1993-12-31,1994-03-31,2466.31,2454.1528
T000000,1993-12-31,1994-04-30,2851.715,2902.1401
T000000,1993-12-31,1994-05-31,3671.805,2655.0386
T000000,1993-12-31,1994-06-30,3806.78,2451.9033
T000001,1985-06-30,1985-07-31,170180.0,137070.17
T000001,1985-06-30,1985-08-31,182643.7,149321.34
T000001,1985-06-30,1985-09-30,150198.4,131613.47
T000001,1985-06-30,1985-10-31,144580.1,134479.47
T000001,1985-06-30,1985-11-30,88946.34,103696.76
T000001,1985-06-30,1985-12-31,79351.46,87099.92
T000001,1985-12-31,1986-01-31,93303.12,97883.36
T000001,1985-12-31,1986-02-28,83155.08,93983.76
T000001,1985-12-31,1986-03-31,84729.4,93363.99
T000001,1985-12-31,1986-04-30,118132.7,105702.77
T000001,1985-12-31,1986-05-31,109726.9,104065.57
T000001,1985-12-31,1986-06-30,136382.3,103121.516
T000001,1986-06-30,1986-07-31,184945.2,155656.95
T000001,1986-06-30,1986-08-31,183298.1,152902.52
T000001,1986-06-30,1986-09-30,182025.2,139359.84
T000001,1986-06-30,1986-10-31,154070.1,141276.56
T000001,1986-06-30,1986-11-30,107512.6,93212.44
T000001,1986-06-30,1986-12-31,95252.91,89149.83
T000001,1986-12-31,1987-01-31,100485.8,112251.016
T000001,1986-12-31,1987-02-28,85406.55,100720.98
T000001,1986-12-31,1987-03-31,99865.2,105200.42
T000001,1986-12-31,1987-04-30,104420.0,122438.56
T000001,1986-12-31,1987-05-31,131736.8,112298.79
T000001,1986-12-31,1987-06-30,151818.7,124593.91
T000001,1987-06-30,1987-07-31,204872.0,159536.03
T000001,1987-06-30,1987-08-31,200877.9,157752.86
T000001,1987-06-30,1987-09-30,172959.4,159944.81
T000001,1987-06-30,1987-10-31,143267.2,144798.47
T000001,1987-06-30,1987-11-30,100896.7,110256.95
T000001,1987-06-30,1987-12-31,91154.37,90020.49
T000001,1987-12-31,1988-01-31,100889.3,109654.61
T000001,1987-12-31,1988-02-29,105025.5,101548.13
T000001,1987-12-31,1988-03-31,103881.0,101533.89
T000001,1987-12-31,1988-04-30,117237.1,114501.04
T000001,1987-12-31,1988-05-31,125309.9,113339.48
T000001,1987-12-31,1988-06-30,145201.7,123867.31
T000001,1988-06-30,1988-07-31,175963.3,168893.17
T000001,1988-06-30,1988-08-31,220512.4,165871.03
T000001,1988-06-30,1988-09-30,179558.0,154885.45
T000001,1988-06-30,1988-10-31,145964.9,140251.08
T000001,1988-06-30,1988-11-30,109480.0,92045.14
T000001,1988-06-30,1988-12-31,88714.75,95891.41
T000001,1988-12-31,1989-01-31,104875.7,107199.27
T000001,1988-12-31,1989-02-28,92488.0,112987.34
T000001,1988-12-31,1989-03-31,103057.3,117484.88
T000001,1988-12-31,1989-04-30,105123.7,123120.75
T000001,1988-12-31,1989-05-31,130371.3,120929.21
T000001,1988-12-31,1989-06-30,139400.0,125442.38
T000001,1989-06-30,1989-07-31,162441.1,159238.97
T000001,1989-06-30,1989-08-31,198709.2,177606.5
T000001,1989-06-30,1989-09-30,154935.7,155789.64
T000001,1989-06-30,1989-10-31,151893.3,152115.38
T000001,1989-06-30,1989-11-30,76786.91,105381.43
T000001,1989-06-30,1989-12-31,79548.9,92473.39
T000001,1989-12-31,1990-01-31,109728.2,108743.25
T000001,1989-12-31,1990-02-28,88898.58,108770.336
T000001,1989-12-31,1990-03-31,82404.9,108874.586
T000001,1989-12-31,1990-04-30,101708.7,114658.484
T000001,1989-12-31,1990-05-31,112285.4,119900.516
T000001,1989-12-31,1990-06-30,106262.4,126137.62
T000001,1990-06-30,1990-07-31,155264.0,143411.31
T000001,1990-06-30,1990-08-31,170488.7,159103.75
T000001,1990-06-30,1990-09-30,132573.7,136159.0
T000001,1990-06-30,1990-10-31,132368.2,143119.58
T000001,1990-06-30,1990-11-30,102293.9,89667.62
T000001,1990-06-30,1990-12-31,77060.46,88647.83
T000001,1990-12-31,1991-01-31,105801.7,109329.44
T000001,1990-12-31,1991-02-28,70909.86,112731.03
T000001,1990-12-31,1991-03-31,71229.47,102652.71
T000001,1990-12-31,1991-04-30,99842.44,109920.34
T000001,1990-12-31,1991-05-31,106268.9,114884.87
T000001,1990-12-31,1991-06-30,102494.4,107458.11
T000001,1991-06-30,1991-07-31,163841.8,128826.664
T000001,1991-06-30,1991-08-31,177779.3,135247.06
T000001,1991-06-30,1991-09-30,146222.3,118841.61
T000001,1991-06-30,1991-10-31,143864.2,125415.54
T000001,1991-06-30,1991-11-30,95231.29,100795.36
T000001,1991-06-30,1991-12-31,87472.69,93353.875
T000001,1991-12-31,1992-01-31,98428.95,114022.62
T000001,1991-12-31,1992-02-29,80790.9,96209.67
T000001,1991-12-31,1992-03-31,90682.21,100429.74
T000001,1991-12-31,1992-04-30,97428.01,114710.54
T000001,1991-12-31,1992-05-31,115606.6,105658.836
T000001,1991-12-31,1992-06-30,130511.8,103138.41
T000001,1992-06-30,1992-07-31,175490.2,146760.6
T000001,1992-06-30,1992-08-31,176215.2,146823.27
T000001,1992-06-30,1992-09-30,160025.7,137224.53
T000001,1992-06-30,1992-10-31,150995.5,136972.34
T000001,1992-06-30,1992-11-30,112002.6,99144.41
T000001,1992-06-30,1992-12-31,85668.59,92182.39
T000001,1992-12-31,1993-01-31,107283.1,110628.31
T000001,1992-12-31,1993-02-28,86953.77,109436.72
T000001,1992-12-31,1993-03-31,95141.96,102812.055
T000001,1992-12-31,1993-04-30,104902.6,111057.305
T000001,1992-12-31,1993-05-31,117794.5,119546.836
T000001,1992-12-31,1993-06-30,139187.5,120539.19
T000001,1993-06-30,1993-07-31,183571.9,154720.45
T000001,1993-06-30,1993-08-31,185953.0,151491.28
T000001,1993-06-30,1993-09-30,171384.6,147961.05
T000001,1993-06-30,1993-10-31,169834.5,143697.89
T000001,1993-06-30,1993-11-30,125275.4,115059.164
T000001,1993-06-30,1993-12-31,90986.6,91053.42
T000001,1993-12-31,1994-01-31,100422.4502,123689.19
T000001,1993-12-31,1994-02-28,94333.93611,124485.555
T000001,1993-12-31,1994-03-31,109861.6957,116529.625
T000001,1993-12-31,1994-04-30,116636.7445,118481.83
T000001,1993-12-31,1994-05-31,139426.5233,132708.05
T000001,1993-12-31,1994-06-30,161014.9254,133174.98
T000002,1993-12-31,1994-01-31,63438.0,64401.004
T000002,1993-12-31,1994-02-28,46261.0,65256.184
T000002,1993-12-31,1994-03-31,72942.0,70823.336
T000002,1993-12-31,1994-04-30,69784.0,74856.14
T000002,1993-12-31,1994-05-31,65471.0,72632.43
T000002,1993-12-31,1994-06-30,65964.0,70583.13
T000002,1994-06-30,1994-07-31,63810.0,67836.695
T000002,1994-06-30,1994-08-31,55093.0,58735.83
T000002,1994-06-30,1994-09-30,59064.0,69361.625
T000002,1994-06-30,1994-10-31,83154.0,78223.4
T000002,1994-06-30,1994-11-30,67528.0,71531.25
T000002,1994-06-30,1994-12-31,63530.0,71111.44
T000002,1994-12-31,1995-01-31,56393.0,66426.55
T000002,1994-12-31,1995-02-28,49912.0,60245.242
T000002,1994-12-31,1995-03-31,70010.0,70329.81
T000002,1994-12-31,1995-04-30,66038.0,72636.5
T000002,1994-12-31,1995-05-31,62639.0,69628.12
T000002,1994-12-31,1995-06-30,62413.0,68403.19
T000002,1995-06-30,1995-07-31,61698.0,63792.184
