unique_id,cutoff,target_start,target_end,online_source,online_series_step,u_hat,score_pi_width,score_resid_scale,score_err_var,window_smape,q,reject_meta_model,accept_meta_model,reject_pi_width,accept_pi_width,reject_resid_scale,accept_resid_scale,reject_err_var,accept_err_var,reject_random_q,accept_random_q,reject_oracle_q,accept_oracle_q
T000000,1985-12-31,1986-03-31,1986-12-31,holdout_evaluation,1,0.8681639978176554,9789.00307779658,0.023048998040339275,4084.2953549424365,0.5122022231562535,0.05,True,False,False,True,False,True,False,True,False,True,False,True
T000001,1985-12-31,1986-03-31,1986-12-31,holdout_evaluation,1,0.4436573143968454,174320.9431113747,0.01058650661917604,73698.70762624661,0.19075600203153503,0.05,False,True,True,False,False,True,True,False,False,True,False,True
T000000,1986-12-31,1987-03-31,1987-12-31,holdout_evaluation,2,0.8505501859658346,9179.960469876423,0.029021996631725888,3664.822567744042,0.5092484504235711,0.05,False,True,False,True,False,True,False,True,False,True,False,True
T000001,1986-12-31,1987-03-31,1987-12-31,holdout_evaluation,2,0.42450040947889556,213244.4443479205,0.010177707322219953,66884.39928711654,0.20842465644106828,0.05,False,True,True,False,False,True,True,False,False,True,False,True
T000000,1987-12-31,1988-03-31,1988-12-31,holdout_evaluation,3,0.8579211677572625,11858.802435316407,0.01696997722347815,3401.592051942665,0.4586483098163522,0.05,False,True,False,True,False,True,False,True,False,True,False,True
T000001,1987-12-31,1988-03-31,1988-12-31,holdout_evaluation,3,0.43508205514093545,216445.65507288786,0.009915363162456448,62333.95300050093,0.17668583265821136,0.05,False,True,True,False,False,True,True,False,False,True,False,True
T000041,1987-12-31,1988-03-31,1988-12-31,holdout_evaluation,1,0.3132256247845361,917.9665731886489,0.09373276865643274,89.20531247253783,0.14410807966869346,0.05,False,True,False,True,False,True,False,True,False,True,False,True
T000042,1987-12-31,1988-03-31,1988-12-31,holdout_evaluation,1,0.4598448769444213,1595.143837057222,0.021482487554836935,101.98271613888768,0.17098499092178443,0.05,False,True,False,True,False,True,False,True,False,True,False,True
T000043,1987-12-31,1988-03-31,1988-12-31,holdout_evaluation,1,0.5151180810510888,378888786315.9177,0.02086530026105632,61.26692534333288,0.48679860333021663,0.05,False,True,True,False,False,True,False,True,False,True,False,True
T000044,1987-12-31,1988-03-31,1988-12-31,holdout_evaluation,1,0.42574148114278904,2045.9552818012626,0.01628543858607745,196.1894004798807,0.13654906857926155,0.05,False,True,False,True,False,True,False,True,False,True,False,True
T000000,1988-12-31,1989-03-31,1989-12-31,holdout_evaluation,4,0.8381108452526902,10558.633561089711,0.029021996631725888,3192.223864583253,0.4482447308380116,0.05,False,True,False,True,False,True,False,True,False,True,False,True
T000001,1988-12-31,1989-03-31,1989-12-31,holdout_evaluation,4,0.43176786914236776,185285.06984352408,0.010177707322219953,57290.623956764175,0.21772782990896958,0.05,False,True,True,False,False,True,True,False,False,True,False,True
T000018,1988-12-31,1989-03-31,1989-12-31,holdout_evaluation,1,0.19935901174439213,133.881380113413,0.011025127547327263,11.139535026963793,0.016758159527206808,0.05,False,True,False,True,False,True,False,True,False,True,False,True
T000019,1988-12-31,1989-03-31,1989-12-31,holdout_evaluation,1,0.11084904397130407,50.534105308160356,0.018951991113751763,9.240658454195147,0.10210525561789323,0.05,False,True,False,True,False,True,False,True,False,True,False,True
T000020,1988-12-31,1989-03-31,1989-12-31,holdout_evaluation,1,0.24633071112520932,289.45097202515046,0.009798575824895989,68.59332495939438,0.1408335021552076,0.05,False,True,False,True,False,True,False,True,False,True,False,True
T000021,1988-12-31,1989-03-31,1989-12-31,holdout_evaluation,1,0.6363095678387936,704.3924868561943,0.03181657813529687,148.84357546054258,0.29018437951655096,0.05,False,True,False,True,False,True,False,True,False,True,False,True
T000022,1988-12-31,1989-03-31,1989-12-31,holdout_evaluation,1,0.19676180756558498,144.14817925444854,0.017116636040653076,28.42370452278786,0.02895137406934197,0.05,False,True,False,True,False,True,False,True,False,True,False,True
T000023,1988-12-31,1989-03-31,1989-12-31,holdout_evaluation,1,0.30180854677292673,185.645341655897,0.007243576486682626,44.430434259665454,0.12709985464930676,0.05,False,True,False,True,False,True,False,True,False,True,False,True
T000024,1988-12-31,1989-03-31,1989-12-31,holdout_evaluation,1,0.39678938839702077,1318.9816071928394,0.0278240587201479,275.53129477589897,0.17122673150818077,0.05,False,True,False,True,False,True,False,True,False,True,False,True
T000025,1988-12-31,1989-03-31,1989-12-31,holdout_evaluation,1,0.8861326743167045,563.3962070484364,0.03577946282025962,131.93248979729526,0.4527193431509189,0.05,True,False,False,True,False,True,False,True,False,True,False,True
T000027,1988-12-31,1989-03-31,1989-12-31,holdout_evaluation,1,0.8210430289977195,4655.432364109804,0.012852916240519485,760.5476233357612,0.536270909964047,0.05,False,True,False,True,False,True,False,True,False,True,False,True
T000030,1988-12-31,1989-03-31,1989-12-31,holdout_evaluation,1,0.7582982493875687,647.3927734417596,0.022416964403327688,99.95527439337206,0.391093110447567,0.05,False,True,False,True,False,True,False,True,False,True,False,True
T000031,1988-12-31,1989-03-31,1989-12-31,holdout_evaluation,1,0.2911161293569219,76.31612194699969,0.027018937822250608,5.937187412918849,0.15931466789523618,0.05,False,True,False,True,False,True,False,True,False,True,False,True
