unique_id,cutoff,ds,y,y_hat
T000000,1985-12-31,1986-03-31,4317.45,7405.3877
T000000,1985-12-31,1986-06-30,7579.5852,5355.632
T000000,1985-12-31,1986-09-30,15061.6469,5951.549
T000000,1985-12-31,1986-12-31,5654.8147,7737.6104
T000000,1986-12-31,1987-03-31,4576.86,7907.716
T000000,1986-12-31,1987-06-30,8845.9037,5670.6064
T000000,1986-12-31,1987-09-30,16198.3437,6470.1807
T000000,1986-12-31,1987-12-31,6432.06,7922.2334
T000000,1987-12-31,1988-03-31,5432.7697,8593.839
T000000,1987-12-31,1988-06-30,8864.131,6456.7256
T000000,1987-12-31,1988-09-30,17327.6031,7247.6885
T000000,1987-12-31,1988-12-31,6848.2494,8798.403
T000000,1988-12-31,1989-03-31,5658.6251,9530.78
T000000,1988-12-31,1989-06-30,8778.2622,7051.785
T000000,1988-12-31,1989-09-30,17154.7721,8108.994
T000000,1988-12-31,1989-12-31,6829.2346,9715.416
T000000,1989-12-31,1990-03-31,5438.6099,9563.324
T000000,1989-12-31,1990-06-30,8741.323,7007.0137
T000000,1989-12-31,1990-09-30,15704.7096,7751.057
T000000,1989-12-31,1990-12-31,6670.9731,9669.773
T000000,1990-12-31,1991-03-31,5117.5793,9140.604
T000000,1990-12-31,1991-06-30,8526.838,6999.2285
T000000,1990-12-31,1991-09-30,16595.3848,7461.9824
T000000,1990-12-31,1991-12-31,7145.835,9528.146
T000000,1991-12-31,1992-03-31,5465.9154,9471.275
T000000,1991-12-31,1992-06-30,9303.35,7180.5796
T000000,1991-12-31,1992-09-30,16747.1845,8115.8975
T000000,1991-12-31,1992-12-31,6915.52,9603.61
T000000,1992-12-31,1993-03-31,5696.01,9316.916
T000000,1992-12-31,1993-06-30,9507.025,7336.4785
T000000,1992-12-31,1993-09-30,17469.63,8120.342
T000000,1992-12-31,1993-12-31,7672.665,9523.676
T000001,1985-12-31,1986-03-31,261187.6,360501.75
T000001,1985-12-31,1986-06-30,364241.9,348079.44
T000001,1985-12-31,1986-09-30,550268.5,389095.06
T000001,1985-12-31,1986-12-31,356835.61,377013.56
T000001,1986-12-31,1987-03-31,285757.55,398244.56
T000001,1986-12-31,1987-06-30,387975.5,388584.0
T000001,1986-12-31,1987-09-30,578709.3,429934.88
T000001,1986-12-31,1987-12-31,335318.27,413253.7
T000001,1987-12-31,1988-03-31,309795.8,396581.47
T000001,1987-12-31,1988-06-30,387748.7,389491.3
T000001,1987-12-31,1988-09-30,576033.7,439475.0
T000001,1987-12-31,1988-12-31,344159.65,415403.8
T000001,1988-12-31,1989-03-31,300421.0,416701.7
T000001,1988-12-31,1989-06-30,374895.0,399446.7
T000001,1988-12-31,1989-09-30,516086.0,445969.78
T000001,1988-12-31,1989-12-31,308229.11,433346.7
T000001,1989-12-31,1990-03-31,281031.68,380861.7
T000001,1989-12-31,1990-06-30,320256.5,366298.3
T000001,1989-12-31,1990-09-30,458326.4,405453.34
T000001,1989-12-31,1990-12-31,311722.56,394802.62
T000001,1990-12-31,1991-03-31,247941.03,373659.8
T000001,1990-12-31,1991-06-30,308605.74,351586.38
T000001,1990-12-31,1991-09-30,487843.4,375516.2
T000001,1990-12-31,1991-12-31,326568.18,375987.16
T000001,1991-12-31,1992-03-31,269902.06,361796.7
T000001,1991-12-31,1992-06-30,343546.41,347300.72
T000001,1991-12-31,1992-09-30,511731.1,384687.8
T000001,1991-12-31,1992-12-31,348666.69,371614.5
T000001,1992-12-31,1993-03-31,289378.83,383231.3
T000001,1992-12-31,1993-06-30,361884.6,377992.1
T000001,1992-12-31,1993-09-30,540909.5,417767.34
T000001,1992-12-31,1993-12-31,386096.5,397769.2
T000002,1994-12-31,1995-03-31,176315.0,194606.4
T000002,1994-12-31,1995-06-30,191090.0,214142.38
T000002,1994-12-31,1995-09-30,175549.0,200584.25
T000002,1994-12-31,1995-12-31,205957.0,227041.03
T000002,1995-12-31,1996-03-31,207805.0,189993.83
T000002,1995-12-31,1996-06-30,203431.0,203834.02
T000002,1995-12-31,1996-09-30,192112.0,193067.94
T000002,1995-12-31,1996-12-31,229377.0,219854.38
T000002,1996-12-31,1997-03-31,233925.0,223779.94
T000002,1996-12-31,1997-06-30,237906.0,224910.55
T000002,1996-12-31,1997-09-30,172977.0,215912.58
T000002,1996-12-31,1997-12-31,216409.0,242835.44
T000002,1997-12-31,1998-03-31,187515.0,205316.25
T000002,1997-12-31,1998-06-30,215019.0,214870.0
T000002,1997-12-31,1998-09-30,185024.0,201627.84
T000002,1997-12-31,1998-12-31,240768.0,247703.77
T000002,1998-12-31,1999-03-31,196466.0,225947.92
T000002,1998-12-31,1999-06-30,215203.0,230610.48
T000002,1998-12-31,1999-09-30,199992.0,209843.88
T000002,1998-12-31,1999-12-31,247264.0,246356.78
T000002,1999-12-31,2000-03-31,209375.0,223586.5
T000002,1999-12-31,2000-06-30,250313.0,238276.72
T000002,1999-12-31,2000-09-30,227018.0,222044.92
T000002,1999-12-31,2000-12-31,279302.0,256991.0
T000002,2000-12-31,2001-03-31,227834.0,251568.11
T000002,2000-12-31,2001-06-30,262939.0,271416.3
T000002,2000-12-31,2001-09-30,221417.0,250089.27
T000002,2000-12-31,2001-12-31,223527.0,285877.7
T000002,2001-12-31,2002-03-31,228216.0,202814.47
T000002,2001-12-31,2002-06-30,259987.0,234481.5
T000002,2001-12-31,2002-09-30,232257.0,234945.47
T000002,2001-12-31,2002-12-31,280384.0,263751.94
