unique_id,cutoff,target_start,target_end,online_source,online_series_step,u_hat,score_pi_width,score_resid_scale,score_err_var,window_smape,q,reject_meta_model,accept_meta_model,reject_pi_width,accept_pi_width,reject_resid_scale,accept_resid_scale,reject_err_var,accept_err_var,reject_random_q,accept_random_q,reject_oracle_q,accept_oracle_q
T000000,1985-12-31,1986-03-31,1986-12-31,holdout_evaluation,1,0.8286113077402799,10818.753284721428,0.024356956471974944,4102.358306594413,0.6145540017922029,0.2,True,False,False,True,False,True,True,False,False,True,True,False
T000001,1985-12-31,1986-03-31,1986-12-31,holdout_evaluation,1,0.50056264287329,227960.77762988844,0.00905422204220488,82823.79990198908,0.26614599076186324,0.2,False,True,True,False,False,True,True,False,False,True,False,True
T000000,1986-12-31,1987-03-31,1987-12-31,holdout_evaluation,2,0.8221452216133391,10153.232262856185,0.020229287783936845,3715.1502038871113,0.5785830734103434,0.2,True,False,False,True,False,True,True,False,False,True,True,False
T000001,1986-12-31,1987-03-31,1987-12-31,holdout_evaluation,2,0.4276210223554402,285189.32547000656,0.006091302531960496,74930.6774394133,0.2850944758052951,0.2,False,True,True,False,False,True,True,False,False,True,False,True
T000000,1987-12-31,1988-03-31,1988-12-31,holdout_evaluation,3,0.8243414510377274,13546.14633805116,0.019514370736305575,3476.188361620638,0.501737486462692,0.2,True,False,False,True,False,True,False,True,False,True,True,False
T000001,1987-12-31,1988-03-31,1988-12-31,holdout_evaluation,3,0.4923467634090093,280214.5884113429,0.009474242521715942,70929.37792841707,0.20095095973022628,0.2,False,True,True,False,False,True,True,False,False,True,False,True
T000041,1987-12-31,1988-03-31,1988-12-31,holdout_evaluation,1,0.2890217649169815,911.253334320213,0.08879968669327484,87.1602248914884,0.13682656283692057,0.2,False,True,False,True,True,False,False,True,False,True,False,True
T000042,1987-12-31,1988-03-31,1988-12-31,holdout_evaluation,1,0.4977891755786325,1776.3825825536449,0.031705413439941016,109.19420666900423,0.23581502337410418,0.2,False,True,False,True,False,True,False,True,False,True,False,True
T000043,1987-12-31,1988-03-31,1988-12-31,holdout_evaluation,1,0.34555409589372765,461561233520.50757,0.05238361148953291,63.8730799636637,0.26564001237789736,0.2,False,True,True,False,False,True,False,True,False,True,False,True
T000044,1987-12-31,1988-03-31,1988-12-31,holdout_evaluation,1,0.30356481038585625,2541.676171551082,0.03526095136708316,210.7082702689471,0.1692545775274786,0.2,False,True,False,True,False,True,False,True,False,True,False,True
T000000,1988-12-31,1989-03-31,1989-12-31,holdout_evaluation,4,0.8579421935145084,12049.794999051726,0.02328710087468855,3261.719977956377,0.5339397432298587,0.2,True,False,False,True,False,True,False,True,True,False,True,False
