unique_id,cutoff,ds,y,y_hat
T000000,1985-12-31,1986-03-31,4317.45,6085.8027
T000000,1985-12-31,1986-06-30,7579.5852,3358.1758
T000000,1985-12-31,1986-09-30,15061.6469,7051.986
T000000,1985-12-31,1986-12-31,5654.8147,10759.131
T000000,1986-12-31,1987-03-31,4576.86,5675.275
T000000,1986-12-31,1987-06-30,8845.9037,3758.3127
T000000,1986-12-31,1987-09-30,16198.3437,6898.8105
T000000,1986-12-31,1987-12-31,6432.06,10578.51
T000000,1987-12-31,1988-03-31,5432.7697,5969.1616
T000000,1987-12-31,1988-06-30,8864.131,4302.5757
T000000,1987-12-31,1988-09-30,17327.6031,8115.1577
T000000,1987-12-31,1988-12-31,6848.2494,11362.751
T000000,1988-12-31,1989-03-31,5658.6251,7405.2065
T000000,1988-12-31,1989-06-30,8778.2622,4609.961
T000000,1988-12-31,1989-09-30,17154.7721,8840.987
T000000,1988-12-31,1989-12-31,6829.2346,12767.678
T000000,1989-12-31,1990-03-31,5438.6099,8852.009
T000000,1989-12-31,1990-06-30,8741.323,5525.2783
T000000,1989-12-31,1990-09-30,15704.7096,9958.181
T000000,1989-12-31,1990-12-31,6670.9731,14101.166
T000000,1990-12-31,1991-03-31,5117.5793,9445.137
T000000,1990-12-31,1991-06-30,8526.838,5792.954
T000000,1990-12-31,1991-09-30,16595.3848,10387.863
T000000,1990-12-31,1991-12-31,7145.835,14276.8125
T000000,1991-12-31,1992-03-31,5465.9154,7821.075
T000000,1991-12-31,1992-06-30,9303.35,5316.0786
T000000,1991-12-31,1992-09-30,16747.1845,9361.08
T000000,1991-12-31,1992-12-31,6915.52,13755.614
T000000,1992-12-31,1993-03-31,5696.01,7863.222
T000000,1992-12-31,1993-06-30,9507.025,5349.143
T000000,1992-12-31,1993-09-30,17469.63,10156.304
T000000,1992-12-31,1993-12-31,7672.665,12927.998
T000001,1985-12-31,1986-03-31,261187.6,324213.66
T000001,1985-12-31,1986-06-30,364241.9,275299.44
T000001,1985-12-31,1986-09-30,550268.5,410986.47
T000001,1985-12-31,1986-12-31,356835.61,473652.66
T000001,1986-12-31,1987-03-31,285757.55,337493.28
T000001,1986-12-31,1987-06-30,387975.5,284434.5
T000001,1986-12-31,1987-09-30,578709.3,428597.47
T000001,1986-12-31,1987-12-31,335318.27,486713.1
T000001,1987-12-31,1988-03-31,309795.8,334002.53
T000001,1987-12-31,1988-06-30,387748.7,325340.44
T000001,1987-12-31,1988-09-30,576033.7,477031.4
T000001,1987-12-31,1988-12-31,344159.65,498099.75
T000001,1988-12-31,1989-03-31,300421.0,387753.0
T000001,1988-12-31,1989-06-30,374895.0,330362.7
T000001,1988-12-31,1989-09-30,516086.0,499003.97
T000001,1988-12-31,1989-12-31,308229.11,509471.88
T000001,1989-12-31,1990-03-31,281031.68,410296.84
T000001,1989-12-31,1990-06-30,320256.5,353816.75
T000001,1989-12-31,1990-09-30,458326.4,495620.3
T000001,1989-12-31,1990-12-31,311722.56,467123.1
T000001,1990-12-31,1991-03-31,247941.03,413128.75
T000001,1990-12-31,1991-06-30,308605.74,321019.0
T000001,1990-12-31,1991-09-30,487843.4,412931.62
T000001,1990-12-31,1991-12-31,326568.18,440446.12
